-,-,-
-178, 213, -40
-178, 213, -40
-279, 178, -199
-263, 56, -389
123, 77, -429
133, 150, -566
299, 119, -574
561, -29, -437
726, -330, -253
584, -353, -101
584, -353, -101
328, -275, 433
1057, 92, 1335
1889, 288, 1998
1336, -48, 1998
510, -609, 1998
385, -404, 1998
-25, -228, 1998
-503, -221, 1998
-63, 283, 1998
-212, 68, 1998
-,-,-
-270, -49, 84
24, 129, -166
282, 317, -559
282, 317, -559
111, 318, -1024
-374, -63, -1015
-656, -51, -977
-182, 77, -607
375, 200, -101
645, 109, 549
704, -231, 858
429, -322, 1073
163, -322, 1140
163, -322, 1140
220, 0, 1357
893, 512, 1982
1141, 527, 1998
840, 181, 1998
424, -104, 1998
-,-,-
-348, -28, 736
-349, -119, 498
-316, -102, 100
-280, 129, -179
-143, 68, -341
51, -6, -491
51, -6, -491
56, -41, -604
150, -93, -503
25, -85, -552
-165, 0, -567
-491, 192, -432
93, 115, -16
93, 115, -16
621, 21, 265
1161, 219, 726
1367, 202, 1456
1334, -22, 1966
1677, 50, 1998
1677, 50, 1998
1368, -155, 1998
571, -417, 1998
-,-,-
-338, -71, 841
-266, -115, 709
-251, -120, 493
-158, 3, 142
-23, 92, -269
-170, 58, -657
-170, 58, -657
-357, 5, -1010
-195, 108, -1111
-162, 302, -992
-295, 334, -945
-361, 8, -846
16, 35, -468
826, 186, 370
826, 186, 370
1396, 244, 1098
1318, -191, 1527
1652, -525, 1971
-,-,-
-189, -102, 216
-234, -272, -116
-11, -276, -215
404, -143, -106
540, 104, -236
-44, 77, -455
-209, 201, -477
1026, 264, 528
1774, 149, 1556
849, 48, 1313
849, 48, 1313
686, 378, 1849
1505, 287, 1998
-,-,-
-358, -137, 705
-447, -154, 640
-336, -138, 560
-292, -178, 422
-209, -133, 233
83, -55, 59
83, -55, 59
129, -53, -253
220, 60, -328
97, 44, -363
-233, 41, -357
-233, 41, -357
-362, 142, -409
-474, 182, -526
-214, -9, -567
-9, -112, -510
341, 51, -273
36, -90, -271
383, -78, 246
383, -78, 246
1805, 369, 1278
1992, 723, 1998
-,-,-
-424, -101, 626
-363, -93, 684
-334, -89, 704
-326, -101, 692
-326, -101, 692
-139, -101, 675
-22, -120, 579
106, -97, 385
154, -50, 148
77, 42, -140
-110, 86, -444
-125, 111, -559
-125, 111, -559
-28, 49, -610
-67, -81, -699
78, -135, -644
150, 73, -642
-96, 63, -569
479, 217, -155
1611, 617, 989
1611, 617, 989
1616, 500, 1885
-,-,-
-209, -40, 663
-302, -69, 624
-351, -79, 701
-326, -67, 743
-344, -85, 747
-355, -129, 746
-253, -152, 766
-261, -168, 719
-185, -169, 638
-75, -158, 493
-75, -158, 493
20, -97, 246
104, -32, 22
-16, 52, -301
-122, 139, -535
-216, 180, -734
-316, 104, -884
-316, 104, -884
-424, 75, -972
-227, 238, -856
-116, 204, -741
599, 121, -493
1310, 39, 360
1421, 155, 1475
1466, 500, 1998
1872, 847, 1998
-,-,-
-252, -160, 611
-422, -195, 518
-591, -92, 490
-653, -103, 425
-534, -156, 444
-335, -117, 482
-335, -117, 482
-167, -115, 574
